# NuRec scenes with a COMPLETE junction traversal (>=10 poses before entry AND after exit)
# MEASURED 2026-08-03, stage-1 survey of all 1607 scenes (results/nurec_survey_stage1.jsonl).
# T1 = |turn| >= 60 deg (a real junction turn) | T2 = 25..60 deg.
# These are candidates by GEOMETRY. Whether the ego's own lane had >=2 options is a
# map question -- run junction_probe.py / strategic_gt.py per scene (stage 2).
tier	turn_deg	scene_id	category	pose_span	poses_pre	poses_post	n_complete	n_traversals	path_m	n_poses
T1	60.45	f3fd4dbd-5c4e-4774-8b41-ebb9b515e9cb	T_JUNCTION_ASYMMETRICAL_PUBLIC_CONTORLLED	[34, 64]	34	137	2	2	127.08	202
T1	60.32	dc2b1bc4-af24-45aa-8a03-19cd1333d0cc	T_JUNCTION_ASYMMETRICAL_PUBLIC_CONTORLLED	[37, 73]	37	128	1	1	67.1	202
T2	59.54	4bdcda96-d062-4d63-ba55-5c1664943a7c	FOUR_WAY	[128, 151]	128	50	1	2	114.65	202
T2	59.38	1ee06414-734b-47f3-8b5b-e1a810eb83e6	FOUR_WAY	[130, 173]	130	28	1	2	115.73	202
T2	59.18	6c5add5c-f597-499d-b1be-07017d77d69a	ROUNDABOUT	[81, 146]	81	55	1	1	140.02	202
T2	59.0	3e88d7b6-c037-4996-9932-7d01fe113b07	FOUR_WAY	[35, 72]	35	129	1	1	178.16	202
T2	58.76	a410c7cf-0f5f-4e9a-9372-193a0cadb8de	FOUR_WAY	[114, 153]	114	48	2	2	84.6	202
T2	58.72	c9836782-1533-4ad3-8ae9-23282d5e09cb	FOUR_WAY	[137, 184]	137	17	1	1	58.74	202
T2	58.56	af7e58a3-a943-4cfc-9d25-fe602c0caf15	FOUR_WAY	[166, 191]	166	10	3	3	267.25	202
T2	58.31	0d358fc5-7b9b-45a5-9126-c9b1a61a83d4	FOUR_WAY	[82, 119]	82	82	1	1	91.23	202
T2	58.19	ccb80b67-0cd9-4419-987f-d985d4a78d55	FOUR_WAY	[72, 103]	72	98	1	2	119.34	202
T2	57.93	e848c843-d275-4f60-a194-61cc7f699124	TWO_WAY_STOP	[95, 124]	95	77	1	1	131.36	202
T2	57.91	b40f4729-29c4-4846-a04b-72c78832a062	TWO_WAY_STOP	[74, 130]	74	71	1	1	74.13	202
T2	57.77	cd431630-55a5-4056-ba5e-7362040fa289	FOUR_WAY	[80, 107]	80	94	3	4	148.87	202
T2	57.36	09426cca-e88a-4178-a82b-0bd5b2be0559	FOUR_WAY_ASYMMETRICAL_OTHER	[90, 161]	90	40	2	2	160.55	202
T2	56.35	f3e2580d-2319-410a-9ab9-e90f1a137f59	FOUR_WAY	[80, 104]	80	97	1	1	277.65	202
T2	55.85	67e7f1e1-ea41-4e14-85e9-2efa231fbace	FOUR_WAY	[117, 155]	117	46	1	1	87.17	202
T2	55.21	93f344e8-2249-4210-830c-812695106c84	FOUR_WAY	[121, 142]	121	59	1	1	151.97	202
T2	55.07	2e132b04-dca4-4450-ad8f-7e54404fd9d9	T_JUNCTION_ASYMMETRICAL	[58, 82]	58	119	1	1	74.87	202
T2	54.05	b304a9b9-b273-48ec-a9f9-cd94e9d94f62	T_JUNCTION_ASYMMETRICAL	[150, 185]	150	16	1	1	203.93	202
T2	53.54	c1258d64-ffa2-408b-94ad-1060674f480a	ROUNDABOUT	[34, 99]	34	102	1	1	195.84	202
T2	53.51	7b418416-8860-46d5-b7fc-687c7d078c4b	T_JUNCTION	[17, 41]	17	160	2	3	142.7	202
T2	53.47	37d660b1-8abc-4a24-8778-94ca50a268c2	FOUR_WAY	[48, 67]	48	134	3	3	179.81	202
T2	53.12	ead24f22-8efa-4e16-ab82-b6e22772c80a	ROUNDABOUT	[13, 94]	13	107	1	1	105.28	202
T2	53.08	07981e6a-22dd-4796-ad2f-1252037ecd28	T_JUNCTION_STOP	[166, 189]	166	12	1	2	107.23	202
T2	52.95	2f227f2c-95e9-4098-a9b1-01d64c697226	FOUR_WAY	[43, 101]	43	100	1	1	72.12	202
T2	52.26	09528162-2142-4082-a31b-decf787c8ada	FOUR_WAY	[43, 65]	43	136	3	3	141.45	202
T2	52.01	55e029f7-66bb-4456-a506-1f86722d758d	T_JUNCTION_ASYMMETRICAL_PUBLIC_CONTORLLED	[148, 179]	148	22	1	1	43.05	202
T2	51.31	16eb5dec-90fa-4ce1-ade9-3f70c2ed9c9a	T_JUNCTION_ASYMMETRICAL_PUBLIC_UNCONTROLLED	[82, 111]	82	90	1	2	115.15	202
T2	50.92	e5e47fd2-e934-42a6-802a-45c3a4a1a3cf	FOUR_WAY	[118, 169]	118	32	2	2	145.51	202
T2	50.78	1594e89e-5d0a-48d6-8d2b-5a5c287d451c	FOUR_WAY	[101, 126]	101	75	1	1	90.81	202
T2	50.63	6fd8cf30-6ccf-4dad-9dee-14df4a9ba97a	FOUR_WAY	[111, 132]	111	69	1	1	103.36	202
T2	50.63	f9e361aa-5e93-41bd-aa5c-406999a5b9db	FOUR_WAY	[75, 97]	75	104	1	1	156.09	202
T2	50.55	39b6115a-a221-45ea-8faa-3dd98b772058	T_JUNCTION_ASYMMETRICAL_PUBLIC_CONTORLLED	[45, 76]	45	125	1	1	111.02	202
T2	50.14	d58261d5-4d15-49c2-8365-3e9bd8c8f651	FOUR_WAY	[57, 82]	57	119	1	1	131.97	202
T2	49.88	94c1d722-1fce-46b4-9aa9-c78389fae1ac	T_JUNCTION_ASYMMETRICAL_PUBLIC_UNCONTROLLED	[84, 107]	84	94	1	1	257.48	202
T2	49.12	fdf09f96-1b3f-4b10-b4b5-459fe6ad2a95	T_JUNCTION_ASYMMETRICAL_PUBLIC_CONTORLLED	[13, 32]	13	169	1	2	241.15	202
T2	48.98	ea468790-9c38-406d-a4cf-4c43fbc091d8	T_JUNCTION_ASYMMETRICAL_PUBLIC_CONTORLLED	[116, 143]	116	58	2	3	109.53	202
T2	48.7	2ce4e533-bfc2-4805-8d31-19542cc17408	T_JUNCTION_UNCONTROLLED	[79, 101]	79	100	2	3	117.84	202
T2	48.54	d4676b71-65a6-47b4-8195-db9a744be261	T_JUNCTION_ASYMMETRICAL_PUBLIC_CONTORLLED	[98, 124]	98	77	1	2	143.03	202
T2	47.99	4995e8aa-8a9b-40a5-aceb-ceccdfa506c7	T_JUNCTION_ASYMMETRICAL	[73, 99]	73	102	1	1	117.79	202
T2	47.48	dceaf6a1-41d3-4268-b34c-9701eb9cb7e1	T_JUNCTION	[79, 124]	79	77	2	2	141.68	202
T2	47.34	27068a85-f418-41ba-9c6f-f1ce69c9f892	TWO_WAY_STOP	[40, 65]	40	136	1	2	125.08	202
T2	47.19	974e9bae-07f6-4f9c-aef8-66098cc50619	T_JUNCTION	[82, 100]	82	101	1	1	253.66	202
T2	46.99	192b11e4-9a76-456d-88b1-993942674cec	FOUR_WAY	[127, 145]	127	56	1	1	115.06	202
T2	45.85	3764254a-8653-437b-9ad7-667778d0524a	T_JUNCTION_ASYMMETRICAL	[70, 80]	70	121	1	1	296.38	202
T2	45.5	25cc74b5-b8a5-4fb4-afd0-d681aec94f77	FOUR_WAY	[61, 89]	61	112	1	1	99.65	202
T2	45.29	6ceb65e2-bd2d-4294-a244-3e48fdfb05ce	T_JUNCTION	[148, 173]	148	28	1	2	152.47	202
T2	45.14	f2d07c13-9120-46f9-915b-28b5563af2ba	FOUR_WAY	[32, 48]	32	153	1	2	242.91	202
T2	44.77	923f1ddf-f5ea-4a50-bf13-505ca7d03b5a	T_JUNCTION_ASYMMETRICAL_PUBLIC_CONTORLLED	[15, 32]	15	169	1	1	194.13	202
T2	44.69	7fb3b33e-85d4-4d3e-b999-5eee301c2308	T_JUNCTION_ASYMMETRICAL_PUBLIC_UNCONTROLLED	[140, 178]	140	23	1	1	55.56	202
T2	44.01	0caa5e02-1be0-4154-9a34-6c5d1e632c06	FOUR_WAY_STOP	[83, 126]	83	75	3	3	108.71	202
T2	43.97	682d1fe7-7c6a-4c03-89f2-77be978c5cd8	ROUNDABOUT	[117, 167]	117	34	1	1	181.14	202
T2	43.29	d0a5056e-f552-42e2-94df-2aaf8e3f8f66	FOUR_WAY	[96, 143]	96	58	1	1	57.11	202
T2	42.83	0052e196-30ca-4e6a-a472-df9434407b03	ROUNDABOUT	[91, 129]	91	72	1	1	174.73	202
T2	42.81	9efa4ece-5030-42a5-9da0-1ff3d1c6ae93	TWO_WAY_STOP	[37, 70]	37	131	1	2	99.53	202
T2	42.33	f1964480-fef1-467a-96c1-99dedf008873	TWO_WAY_STOP	[81, 100]	81	101	1	1	101.48	202
T2	41.82	14850e11-6a08-4cd7-9875-be353f1a764b	T_JUNCTION_ASYMMETRICAL_PUBLIC_UNCONTROLLED	[11, 40]	11	161	1	1	112.32	202
T2	38.38	6ecf04c0-e3fb-439c-bae4-2e2393be430d	ROUNDABOUT	[109, 175]	109	26	1	1	171.38	202
T2	38.16	2ff0eef3-fdb9-4334-8096-1df3c4cd86f4	T_JUNCTION_ASYMMETRICAL	[149, 175]	149	26	1	1	175.25	202
T2	37.65	400aa790-3055-4d4b-aba2-e89834928fb8	FOUR_WAY_STOP	[159, 174]	159	27	1	1	209.96	202
T2	37.42	a5599793-5d03-4104-ad6e-1925cefded72	ROUNDABOUT	[77, 108]	77	93	1	2	121.21	202
T2	36.84	209428ee-53bf-4338-afcf-cd0fc33a94b2	ROUNDABOUT	[105, 125]	105	76	1	1	135.4	202
T2	36.82	1a69f757-4f33-4fd7-98a6-3a026c88b571	T_JUNCTION_ASYMMETRICAL_PUBLIC_UNCONTROLLED	[50, 107]	50	94	1	1	143.57	202
T2	36.04	10eef229-32c8-4ef5-8a53-2e5e4b6675a0	T_JUNCTION	[159, 181]	159	20	2	2	83.64	202
T2	35.51	9d45080a-b929-4d2a-92ab-75069958233d	T_JUNCTION	[85, 122]	85	79	1	1	235.32	202
T2	35.06	6dcd2117-4204-4bc4-88f7-4373636a830d	ROUNDABOUT	[111, 132]	111	69	1	1	154.25	202
T2	33.98	9d1339da-d069-4ee8-a854-d3abaef1fe8b	ROUNDABOUT	[113, 140]	113	61	1	1	134.16	202
T2	33.78	26b07382-fcfb-4c6d-9dba-55d6ab124251	FOUR_WAY	[85, 98]	85	103	1	1	99.32	202
T2	32.66	c404b833-65c7-4519-aad8-449b5af8b3f2	FOUR_WAY	[85, 102]	85	99	2	4	171.57	202
T2	32.29	14a02b32-08ac-493f-b9b5-5367df0cc568	T_JUNCTION_ASYMMETRICAL_INTERNAL	[84, 103]	84	98	2	2	148.12	202
T2	32.09	17343b97-975b-4e32-9d1f-3ce37f99effc	ROUNDABOUT	[50, 71]	50	130	1	2	201.57	202
T2	31.84	abc4fda9-6185-47f8-abd8-86dcc1fdec2d	FOUR_WAY_ASYMMETRICAL_OTHER	[45, 65]	45	136	1	1	231.14	202
T2	30.84	2640e5d4-678e-427a-85b4-072f98a445f3	T_JUNCTION_ASYMMETRICAL	[27, 53]	27	148	2	3	204.46	202
T2	30.5	0c2ca78d-d3ca-46e6-bb28-4eaf1f8a4eab	FOUR_WAY	[86, 130]	86	71	4	5	165.28	202
T2	30.46	48a50c2a-ab84-4249-aa38-d983b3466e64	FOUR_WAY_ASYMMETRICAL_OTHER	[14, 77]	14	124	2	2	143.59	202
T2	30.38	49513907-cf1c-4e07-9f92-36ba0c1561b7	FOUR_WAY	[119, 131]	119	70	1	1	224.25	202
T2	29.46	c4100c5d-aa42-4e68-a7e8-1704768a453d	T_JUNCTION	[144, 167]	144	34	1	2	224.45	202
T2	28.72	96da4f1a-2057-4263-94e9-9e5112c89737	FOUR_WAY	[91, 116]	91	85	1	1	114.56	202
T2	28.51	55bb852d-2af0-4c64-9a69-b482da66cfcd	T_JUNCTION_ASYMMETRICAL	[47, 76]	47	125	2	2	158.08	202
T2	28.25	9c8e6289-e412-4457-849f-0890a6e1f64f	FOUR_WAY	[139, 173]	139	28	1	1	63.62	202
T2	27.81	ef6dfba5-5284-488a-a43b-4f2e8a25c0b0	T_JUNCTION_ASYMMETRICAL	[50, 94]	50	107	1	1	195.04	202
T2	26.76	19073df6-076e-4ae0-9f8a-be59239919bb	T_JUNCTION_ASYMMETRICAL	[94, 112]	94	89	1	1	415.03	202
T2	26.29	3a316bee-8a51-47c2-b814-ff37eed2ce78	T_JUNCTION	[106, 147]	106	54	2	2	92.53	202
T2	26.13	1e720496-74cc-4279-b74c-710829cbf05e	FOUR_WAY	[82, 101]	82	100	1	1	112.28	202
T2	25.62	33c8976b-fbd4-4e92-adcd-e69949d69b14	T_JUNCTION_ASYMMETRICAL	[57, 81]	57	120	2	2	114.13	202
